window_start,window_end,best_model,second_model,best_rmse,best_mae,second_rmse,second_mae,rmse_gap
2019-04-29,2019-09-04,Random Forest,XGBoost,46.5426065709738,41.5753409090909,47.80098398021231,41.28696511008523,-1.2583774092385056
2019-06-11,2019-10-16,Random Forest,XGBoost,19.814616355277195,17.23443181818183,27.64403843200928,22.80912364612926,-7.829422076732083
2019-07-24,2019-11-27,Random Forest,XGBoost,10.503026171061373,9.716750000000005,11.049471302555386,9.512538146972656,-0.5464451314940124
2019-09-05,2020-01-13,Random Forest,Hidden Markov Model,8.917625771737784,7.381428571428568,7.363067424977323,6.114285714285735,1.5545583467604613
2019-10-17,2020-02-26,Random Forest,XGBoost,27.445551733262388,22.083068181818184,28.18257697886805,22.777253584428266,-0.7370252456056612
2019-11-29,2020-04-08,Hidden Markov Model,KNeighborsTimeSeries,56.744864880055296,56.224206349206355,38.91727490092652,37.19999999999999,17.827589979128774
2020-02-27,2020-07-06,Random Forest,Hidden Markov Model,11.365912291404904,9.227613636363634,12.824080330985845,10.756313131313133,-1.4581680395809418
2020-04-09,2020-08-17,Hidden Markov Model,Random Forest,26.06675612560597,22.487698412698407,28.475247474780623,22.67654761904762,-2.4084913491746534
2020-05-22,2020-09-29,Random Forest,Hidden Markov Model,49.01322850772024,47.02295454545454,63.99380720906602,62.64469696969695,-14.980578701345777
2020-07-07,2020-11-10,Hidden Markov Model,Random Forest,60.621655528759845,60.44047619047619,20.479072310008856,17.277261904761907,40.142583218750985
2020-08-18,2020-12-23,KNeighborsTimeSeries,Hidden Markov Model,81.87047938504355,77.43947368421054,108.77399036319372,105.9377192982456,-26.903510978150166
2020-09-30,2021-02-08,Random Forest,XGBoost,105.55991224097068,88.8370238095238,108.52155039453162,93.53206816173736,-2.9616381535609406
2020-11-11,2021-03-23,Random Forest,XGBoost,93.55877310864672,85.5802380952381,116.26862448575896,106.35057721819196,-22.709851377112244
2020-12-24,2021-05-05,Random Forest,XGBoost,90.37017120406699,72.8352380952381,102.5411311031056,88.00101725260417,-12.170959899038607
2021-05-06,2021-09-13,Random Forest,XGBoost,102.92129884097672,92.37522727272727,112.61248039597413,97.78212529962713,-9.691181554997414
2021-06-18,2021-10-25,Random Forest,XGBoost,36.99881643914747,35.248977272727295,34.260751924674686,33.13801435990767,2.738064514472782
2021-08-02,2021-12-07,Random Forest,Hidden Markov Model,23.319275250622294,20.269285714285708,50.32789933525062,49.57301587301589,-27.008624084628327
2021-12-08,2022-04-18,Random Forest,XGBoost,89.42129632137669,86.29818181818183,102.69113679132866,90.37602372602983,-13.269840469951973
2022-01-21,2022-05-31,Random Forest,XGBoost,36.90421594027797,31.68214285714286,39.64352524218277,33.317833310081845,-2.7393093019047967
2022-08-26,2023-01-04,Hidden Markov Model,Random Forest,11.023153842477234,9.555555555555543,16.6835991606242,14.435238095238084,-5.660445318146968
2023-01-05,2023-05-15,Random Forest,Hidden Markov Model,55.93145469328634,52.607261904761906,65.66967693124406,63.02619047619044,-9.738222237957714
2023-02-17,2023-06-28,Random Forest,XGBoost,81.27123916904078,73.07261904761904,88.43697085472186,80.59497651599702,-7.165731685681081
